阿公店,A kong tiàm
鴟鴞,lāi hiō
內分泌,lāi hun pì
內行,lāi hâng
內行的,lāi hâng ê
內野,lāi iá
內䘥仔,lāi kah á
內科,lāi kho
內勤,lāi khîn
內褲,lāi khòo
內勤,lāi khûn
內公,lāi kong
內奶,lāi ling
內陸,lāi lio̍k
內裡,lāi lí
內籬仔,lāi lî á
內媽,lāi má
內奶,lāi ni
內衫,lāi sann
內銷,lāi siau
內傷,lāi siong
內山,lāi suann
內山斗底,lāi suann táu tué
內山斗底,lāi suann táu té
內孫,lāi sun
內套,lāi thò
內場,lāi tiûnn
內戰,lāi tsiàn
內才,lāi tsâi
內地,lāi tuē
內底,lāi té
內地,lāi tē
濫,lām
纜,lām
艦,lām
濫糝,lām sám
濫使,lām sú
艦隊,lām tuī
亂,lān
爛,lān
難,lān
𡳞,lān
難民,lān bîn
𡳞核,lān hu̍t
𡳞蔓,lān muā
𡳞脬,lān pha
𡳞𦉎,lān sui
𡳞神,lān sîn
亂彈,lān thân
𡳞鳥,lān tsiáu
俍,lāng
弄,lāng
籠,lāng
弄風,lāng hong
弄鐃,lāng lâu
弄龍,lāng lîng
弄獅,lāng sai
弄新娘,lāng sin niû
弄喙花,lāng tshuì hue
漏,lāu
老,lāu
鬧,lāu
老阿伯,lāu a peh
老阿婆,lāu a pô
老母,lāu bó
老兄,lāu hiann
老番顛,lāu huan tian
老歲仔,lāu huè á
老歲仔,lāu hè á
鬧熱,lāu jia̍t
鬧熱滾滾,lāu jia̍t kún kún
老硞硞,lāu khok khok
老康健,lāu khong kiān
老去,lāu khì
老公仔,lāu kong á
老孤𣮈,lāu koo khu̍t
老姑婆,lāu koo pô
老猴,lāu kâu
鬧熱,lāu lia̍t
老人,lāu lâng
老人目,lāu lâng ba̍k
老人斑,lāu lâng pan
老命,lāu miā
老兵,lāu ping
老不修,lāu put siu
老牌子,lāu pâi tsú
老婆仔,lāu pô á
老本,lāu pún
老爸,lāu pē
老步定,lāu pōo tiānn
漏洩,lāu sia̍p
老生,lāu sing
老師,lāu su
漏稅,lāu suè
漏稅,lāu sè
老神在在,lāu sîn tsāi tsāi
老顛倒,lāu thian tho̍h
老太太,lāu thài thài
老娼頭,lāu tshang thâu
老鳥,lāu tsiáu
老大公,lāu tuā kong
老大人,lāu tuā lâng
老倒勼,lāu tò kiu
老的,lāu ê
老芋仔,lāu ōo á
例,lē
勵,lē
厲,lē
戾,lē
篱,lē
鑢,lē
鱺,lē
麗,lē
例外,lē guā
鯉魚,lē hî
荔枝,lē tsi
笠仔,lē á
俐,lī
厲,lī
吏,lī
呂,lī
慮,lī
濾,lī
痢,lī
膩,lī
貳,lī
離,lī
餌,lī
字母,lī bú
字幕,lī bōo
字眼,lī gán
離婚,lī hun
字型,lī hîng
利害,lī hāi
厲害,lī hāi
字號,lī hō
利益,lī ik
離緣,lī iân
利用,lī iōng
字樣,lī iūnn
利尿,lī jiō
利潤,lī jūn
離跤手,lī kha tshiú
離開,lī khui
離經,lī king
字據,lī kù
利尿,lī liō
利率,lī lu̍t
離離,lī lī
利潤,lī lūn
膩瓤,lī nn̂g
離譜,lī phóo
離別,lī pia̍t
利便,lī piān
二房,lī pâng
字爿,lī pîng
二步七仔,lī pōo tshit á
利息,lī sik
字姓,lī sìnn
利純,lī sûn
字體,lī thé
字典,lī tián
二手,lī tshiú
離手,lī tshiú
二手貨,lī tshiú hè
利市,lī tshī
字紙,lī tsuá
字紙籠,lī tsuá láng
二指,lī tsáinn
字劃,lī ue̍h
字勻,lī ûn
字運,lī ūn
任,līm
任命,līm bīng
任務,līm bū
任何,līm hô
任期,līm kî
任內,līm lāi
任職,līm tsit
任意,līm ì
吝,līn
認,līn
認捌,līn bat
認份,līn hūn
認養,līn ióng
認路,līn lōo
認命,līn miā
認領,līn niá
認輸,līn su
認知,līn ti
認錯,līn tshò
認真,līn tsin
認罪,līn tsuē
認證,līn tsìng
認同,līn tông
認定,līn tīng
認為,līn uî
令,līng
另,līng
楝,līng
稜,līng
翎,līng
鴒,līng
另外,līng guā
另日,līng ji̍t
另日,līng li̍t
勞,lō
囉,lō
烙,lō
號,lō
弄,lōng
浪,lōng
浪漫,lōng bān
浪費,lōng huì
弄狗相咬,lōng káu sio kā
浪子,lōng tsú
浪蕩,lōng tōng
漏,lōo
蕗,lōo
賂,lōo
路,lōo
陋,lōo
露,lōo
鷺,lōo
𢲸,lōo
路尾,lōo bué
路尾,lōo bé
路面,lōo bīn
路費,lōo huì
路況,lōo hóng
露營,lōo iânn
路口,lōo kháu
蕗蕎,lōo kiō
路徑,lōo kìng
露螺,lōo lê
路標,lōo piau
路邊,lōo pinn
路邊擔仔,lōo pinn tànn á
路旁屍,lōo pông si
路上,lōo siōng
路線,lōo suànn
路頭,lōo thâu
路燈,lōo ting
路沖,lōo tshiong
路草,lōo tsháu
路祭,lōo tsè
路段,lōo tuānn
路程,lōo tîng
路途,lōo tôo
路用,lōo īng
呂,lū
喻,lū
瀘,lū
裕,lū
諭,lū
鋁,lū
崙,lūn
潤,lūn
論,lūn
閏,lūn
韌,lūn
論文,lūn bûn
閏月,lūn guē
韌命,lūn miā
潤餅𩛩,lūn piánn kauh
論述,lūn su̍t
論點,lūn tiám
論調,lūn tiāu
論真,lūn tsin
論戰,lūn tsiàn
論壇,lūn tuânn
崙仔,lūn á
媽,ma
馬,ma
馬拉松,ma lá sóng
嘛,mah
媽,mah
哩,mai
㧌,mau
卯,mauh
卯喙,mauh tshuì
搣,me
咩,meh
蜢,meh
脈,me̍h
糜,mi
鞭,mi
糜糜卯卯,mi mi mauh mauh
物,mih
名,miâ
明,miâ
樠,miâ
名額,miâ gia̍h
名號,miâ hō
名字,miâ jī
名字,miâ lī
名簿,miâ phōo
名牌,miâ pâi
名聲,miâ siann
名詞,miâ sû
名條,miâ tiâu
名冊,miâ tsheh
名稱,miâ tshing
名次,miâ tshù
名單,miâ tuann
命,miā
命理,miā lí
命案,miā àn
命運,miā ūn
妙,miāu
妙方,miāu hng
物,mi̍h
物配,mi̍h phuè
物食,mi̍h tsia̍h
毛尾仔,mn̂g bué á
毛尾仔,mn̂g bé á
門風,mn̂g hong
門號,mn̂g hō
門戶,mn̂g hōo
毛跤,mn̂g kha
門跤口,mn̂g kha kháu
門圈,mn̂g khian
門口,mn̂g kháu
門口埕,mn̂g kháu tiânn
門栱,mn̂g kông
毛管,mn̂g kńg
門簾,mn̂g lî
門路,mn̂g lōo
門票,mn̂g phiò
門扇,mn̂g sìnn
門神,mn̂g sîn
門閂,mn̂g tshuànn
門市,mn̂g tshī
門診,mn̂g tsín
門斗,mn̂g táu
門擋仔,mn̂g tòng á
門後臼,mn̂g āu khū
門下栿,mn̂g ē ho̍k
門下臼,mn̂g ē khū
門下栿,mn̂g ē pha̍k
問話,mn̄g uē
物,mn̍gh
物配,mn̍gh phè
物食,mn̍gh tsia̍h
摸,moo
毛,moo
摸飛,moo hui
𢯾,mooh
𢯾壁鬼,mooh piah kuí
瘼,mo̍oh
膜,mo̍oh
幔,mua
滿面,muá bīn
滿月,muá guē
滿壘,muá luí
滿滿是,muá muá sī
滿腹,muá pak
滿山紅,muá suann âng
滿四界,muá sì kuè
滿四界,muá sì kè
滿意,muá ì
痲,muâ
瞞,muâ
鰻,muâ
麻,muâ
麻油,muâ iû
麻油酒,muâ iû tsiú
麻粩,muâ láu
瞞騙,muâ phiàn
麻布,muâ pòo
麻衫,muâ sann
麻虱目,muâ sat ba̍k
麻索,muâ soh
瞞天過海,muâ thinn kuè hái
瞞天過海,muâ thinn kè hái
麻竹,muâ tik
麻竹筍,muâ tik sún
麻雀,muâ tshiok
麻雀子仔,muâ tshiok jí á
麻雀子仔,muâ tshiok lí á
麻糍,muâ tsî
麻袋,muâ tē
媒,muê
煤,muê
糜,muê
媒人,muê lâng
媒人公,muê lâng kong
媒人禮,muê lâng lé
媒人婆,muê lâng pô
媒人喙,muê lâng tshuì
糜飯,muê pn̄g
梅仔,muê á
梅仔餅,muê á piánn
梅仔茶,muê á tê
每,muí
每日,muí ji̍t
每日,muí li̍t
每年,muí nî
媒,muî
梅,muî
玫,muî
莓,muî
門,muî
梅花,muî hue
玫瑰,muî kuì
玫瑰花,muî kuì hue
媒介,muî kài
媒體,muî thé
梅毒,muî to̍k
蔓,muā
妹,muē
妹婿,muē sài
問,muī
嘛,mà
嘛嘛吼,mà mà háu
莫,mài
莫講,mài kóng
媽,má
瑪,má
碼,má
馬,má
馬鈴薯,má lîng tsî
媽媽,má mah
馬馬虎虎,má má hu hu
馬耳東風,má ní tong hong
馬西馬西,má se má se
馬上,má siōng
買,mái
麻,mâ
麻煩,mâ huân
矛,mâu
茅,mâu
矛盾,mâu tún
猛,mé
猛火,mé hué
猛火,mé hé
猛掠,mé lia̍h
猛醒,mé tshénn
猛醒,mé tshínn
明,mê
暝,mê
盲,mê
鋩,mê
暝尾,mê bué
暝日,mê ji̍t
鋩角,mê kak
暝工,mê kang
明年,mê nî
暝時,mê sî
暝車,mê tshia
乜,mí
彌,mí
彌補,mí póo
棉,mî
盲,mî
綿,mî
暝尾,mî bé
棉裘,mî hiû
棉花,mî hue
綿羊,mî iûnn
暝工,mî kang
暝日,mî li̍t
綿爛,mî nuā
棉被,mî phuē
棉紗,mî se
綿死綿爛,mî sí mî nuā
暝時,mî sî
暝車,mî tshia
綿精,mî tsinn
棉襀,mî tsioh
棉襀被,mî tsioh phuē
棉襀被,mî tsioh phē
棉仔,mî á
棉仔枝,mî á ki
綿仔紙,mî á tsuá
摩,môo
毛,môo
盲,môo
矛,môo
磨,môo
蘑,môo
謀,môo
魔,môo
毛呼,môo honn
魔法,môo huat
毛蟹,môo hē
蘑菇,môo koo
魔鬼,môo kuí
毛管,môo kńg
魔力,môo li̍k
毛利,môo lī
毛利率,môo lī lu̍t
毛筆,môo pit
毛病,môo pēnn
毛病,môo pīnn
魔術,môo su̍t
魔神仔,môo sîn á
毛毯,môo thán
盲腸,môo tn̂g
盲腸炎,môo tn̂g iām
嘛,mā
罵,mā
嘛欲,mā beh
嘛欲,mā bueh
嘛是,mā sī
昧,māi
覓,māi
賣,māi
邁,māi
貌,māu
罵,mē
麵,mī
麵粉,mī hún
物件,mī kiānn
麵龜,mī ku
麵猴,mī kâu
麵包,mī pau
麵線,mī suànn
麵線糊,mī suànn kôo
麵麶,mī thi
麵頭,mī thâu
麵桃,mī thô
麵摵仔,mī tshi̍k á
麵炙,mī tsià
麵擔仔,mī tànn á
麵茶,mī tê
物仔,mī á
晚,mńg
晚冬,mńg tang
冒,mōo
冒險,mōo hiám
莓,m̂
梅仔,m̂ á
梅仔餅,m̂ á piánn
毋,m̄
毋捌,m̄ bat
毋免,m̄ bián
毋願,m̄ guān
毋好,m̄ hó
毋好勢,m̄ hó sè
毋甘,m̄ kam
毋甘願,m̄ kam guān
毋甘嫌,m̄ kam hiâm
毋驚,m̄ kiann
毋過,m̄ koh
毋管,m̄ kuán
毋敢,m̄ kánn
毋但,m̄ nā
毋是,m̄ sī
毋是款,m̄ sī khuán
毋是勢,m̄ sī sè
毋值,m̄ ta̍t
毋通,m̄ thang
毋著,m̄ tio̍h
毋挃,m̄ ti̍h
毋知,m̄ tsai
毋知影,m̄ tsai iánn
毋知人,m̄ tsai lâng
毋知死,m̄ tsai sí
毋才,m̄ tsiah
毋成,m̄ tsiânn
毋成囡仔,m̄ tsiânn gín á
毋成樣,m̄ tsiânn iūnn
毋成囝,m̄ tsiânn kiánn
毋成猴,m̄ tsiânn kâu
毋成人,m̄ tsiânn lâng
毋成物,m̄ tsiânn mi̍h
毋成物,m̄ tsiânn mn̍gh
毋情願,m̄ tsîng guān
毋准,m̄ tsún
毋拄好,m̄ tú hó
毋就,m̄ tō
焦,na
凹,nah
爁,nah
爁日,nah ji̍t
爁日,nah li̍t
凹落去,nah lo̍h khì
凹鼻,nah phīnn
奶,nai
喃,nauh
呢,ne
奶,ne
拈,ne
凹,neh
呢,neh
躡,neh
躡跤尾,neh kha bué
央,ng
秧,ng
掩咯雞,ng ko̍k ke
掩咯雞,ng ko̍k kue
掩掩揜揜,ng ng iap iap
秧船,ng tsûn
秧仔,ng á
夾,ngeh
莢,ngeh
夾仔,ngeh á
挾,nge̍h
擽,ngiau
擽呧,ngiau ti
蟯,ngia̍uh
蟯蟯趖,ngia̍uh ngia̍uh sô
撓,ngiáu
迎,ngiâ
迎鬧熱,ngiâ lāu jia̍t
迎鬧熱,ngiâ lāu lia̍t
迎新棄舊,ngiâ sin khì kū
迎神,ngiâ sîn
迎燈,ngiâ ting
扭,ngiú
扭尻川,ngiú kha tshng
雅,ngá
雅氣,ngá khì
雅量,ngá liōng
雅房,ngá pâng
雅緻,ngá tì
咬,ngáu
爻,ngâu
肴,ngâu
雅,ngé
五,ngóo
仵,ngóo
伍,ngóo
偶,ngóo
午,ngóo
忤,ngóo
我,ngóo
𩵱,ngóo
忤逆,ngóo gi̍k
五香,ngóo hiang
五福,ngóo hok
五仁,ngóo jîn
五加皮,ngóo ka pî
五金,ngóo kim
五金行,ngóo kim hâng
五穀,ngóo kok
五官,ngóo kuan
五柳居,ngóo liú ki
五柳居,ngóo liú ku
五仁,ngóo lîn
五路,ngóo lōo
偶像,ngóo siōng
五彩,ngóo tshái
五臟,ngóo tsōng
𩵱仔,ngóo á
俄,ngôo
吾,ngôo
娛,ngôo
娥,ngôo
梧,ngôo
蜈,ngôo
遨,ngôo
鵝,ngôo
蜈蜞釘,ngôo khî ting
吳郭魚,ngôo kueh hî
吳郭魚,ngôo kueh hû
梧桐,ngôo tông
艾,ngāi
樂,ngāu
藕,ngāu
硬,ngē
硬押,ngē ah
硬化,ngē huà
硬氣,ngē khì
硬骨,ngē kut
硬迸迸,ngē piàng piàng
硬體,ngē thé
硬碟,ngē tia̍p
硬插,ngē tshah
硬掙,ngē tsiānn
硬篤,ngē táu
硬拄硬,ngē tú ngē
硬拗,ngē áu
硬押,ngī ah
硬化,ngī huà
硬氣,ngī khì
硬骨,ngī kut
硬迸迸,ngī piàng piàng
硬體,ngī thé
硬碟,ngī tia̍p
硬插,ngī tshah
硬掙,ngī tsiānn
硬篤,ngī táu
硬拄硬,ngī tú ngī
硬拗,ngī áu
傲,ngōo
悟,ngōo
臥,ngōo
拈,ni
奶母,ni bú
奶母車,ni bú tshia
奶癌,ni gâm
奶頭,ni thâu
奶喙仔,ni tshuì á
奶水,ni tsuí
奶茶,ni tê
貓,niau
貓咪,niau bî
貓面,niau bīn
貓貓,niau niau
貓貓相,niau niau siòng
貓頭鳥,niau thâu tsiáu
貓仔,niau á
呢,nih
𥍉,nih
𥍉目,nih ba̍k
躡跤尾,nih kha bé
𥍉𥍉看,nih nih khuànn
嶺,niá
領,niá
領軍,niá kun
領標,niá pio
領受,niá siū
領錢,niá tsînn
領帶,niá tuà
爪,niáu
鳥,niáu
鳥鼠,niáu tshí
鳥鼠擗仔,niáu tshí phia̍k á
鳥鼠觸仔,niáu tshí tak á
鳥鼠張,niáu tshí tng
鳥鼠仔色,niáu tshí á sik
鳥鼠仔糖,niáu tshí á thn̂g
鳥鼠仔症,niáu tshí á tsìng
鳥鼠仔冤,niáu tshí á uan
鳥鼠擗仔,niáu tshú phia̍k á
鳥鼠觸仔,niáu tshú tak á
鳥鼠張,niáu tshú tng
鳥鼠仔色,niáu tshú á sik
鳥鼠仔糖,niáu tshú á thn̂g
鳥鼠仔症,niáu tshú á tsìng
鳥鼠仔冤,niáu tshú á uan
爪仔,niáu á
娘,niâ
兩,niú
扭,niú
扭曲,niú khiok
娘,niû
梁,niû
樑,niû
涼,niû
糧,niû
量,niû
娘囝,niû kiánn
娘𡢃,niû kán
娘嬭,niû lé
娘娘,niû niû
糧食,niû si̍t
涼傘,niû suànn
梁柱,niû thiāu
糧草,niû tsháu
娘仔,niû á
娘仔葉,niû á hio̍h
娘仔觳,niû á khok
娘仔繭,niû á kián
娘仔絲,niû á si
娘仔樹,niû á tshiū
爾,niā
陵,niā
爾爾,niā niā
讓,niū
量,niū
讓步,niū pōo
讓手,niū tshiú
讓位,niū uī
量仔,niū á
軁,nng
榔,nn̂g
瓤,nn̂g
郎,nn̂g
兩,nn̄g
卵殼,nn̄g khak
卵包,nn̄g pau
卵白質,nn̄g pe̍h tsit
兩爿,nn̄g pîng
二步七仔,nn̄g pōo tshit á
卵巢,nn̄g tsâu
躽,nuà
撋,nuá
攔,nuâ
欄,nuâ
欄位,nuâ uī
軁,nuì
軟,nuí
僆,nuā
懶,nuā
瀾,nuā
爛,nuā
爛糊糊,nuā kôo kôo
爛癬,nuā sián
瀾垂,nuā sê
懶性,nuā sìng
爛𤶃仔,nuā thiāu á
爛塗,nuā thôo
爛塗糜,nuā thôo bê
爛塗糜,nuā thôo muê
卵,nuī
卵仁,nuī jîn
卵清,nuī tshing
哪,ná
娜,ná
拿,ná
林,ná
欖,ná
若,ná
那,ná
哪未,ná buē
哪未,ná bē
哪毋,ná m̄
林菝仔,ná pua̍t á
哪通,ná thang
哪著,ná tio̍h
若親像,ná tshin tshiūnn
若像,ná tshiūnn
哪會,ná ē
若有若無,ná ū ná bô
惱,náu
腦,náu
腦海,náu hái
腦筋,náu kin
腦筋,náu kun
腦力,náu li̍k
腦膜炎,náu mo̍oh iām
腦貧血,náu pîn hiat
腦部,náu pōo
腦髓,náu tshué
腦髓,náu tshé
嚨,nâ
林,nâ
籃,nâ
藍,nâ
鐃,nâ
籃框,nâ khing
籃球,nâ kiû
籃板,nâ pán
藍色,nâ sik
藍調,nâ tiāu
籃層,nâ tsân
林投,nâ tâu
藍圖,nâ tôo
籃仔,nâ á
嚨喉,nâ âu
嚨喉空,nâ âu khang
嚨喉蒂仔,nâ âu tì á
晾,nê
染,ní
耳,ní
耳目,ní bo̍k
染料,ní liāu
染布,ní pòo
染色,ní sik
染色體,ní sik thé
呢,nî
哖,nî
妮,nî
尼,nî
年,nî
彌,nî
泥,nî
簾,nî
連,nî
年尾,nî bué
年尾囡仔,nî bué gín á
年尾,nî bé
年尾囡仔,nî bé gín á
年歲,nî huè
年費,nî huì
年會,nî huē
年歲,nî hè
年限,nî hān
年份,nî hūn
年金,nî kim
年級,nî kip
尼姑,nî koo
尼姑庵,nî koo am
年關,nî kuan
年鑑,nî kàm
年紀,nî kí
年久月深,nî kú ge̍h tshim
年久月深,nî kú gue̍h tshim
年齡,nî lîng
年薪,nî sin
年冬,nî tang
年兜,nî tau
年頭,nî thâu
年節,nî tseh
年初,nî tshe
年初,nî tshue
年終,nî tsiong
年資,nî tsu
年節,nî tsueh
簾簷,nî tsînn
簾簷跤,nî tsînn kha
年底,nî tué
年底,nî té
年代,nî tāi
年度,nî tōo
老,nóo
老化,nóo huà
但,nā
吶,nā
若,nā
若無,nā bô
若是,nā sī
若準,nā tsún
奈,nāi
耐,nāi
荔,nāi
賴,nāi
奈何,nāi hô
耐用,nāi iōng
耐心,nāi sim
耐性,nāi sìng
鬧,nāu
鬧房,nāu pâng
鬧廳,nāu thiann
鬧猜猜,nāu tshai tshai
鬧台,nāu tâi
爾,nī
莉,nī
軟𩛩𩛩,nńg kauh kauh
軟跤,nńg kha
軟跤蝦,nńg kha hê
軟轎,nńg kiō
軟骨,nńg kut
軟膏膏,nńg kô kô
軟晡,nńg poo
軟絲仔,nńg si á
軟心,nńg sim
軟荍荍,nńg siô siô
軟㽎㽎,nńg sìm sìm
軟體,nńg thé
軟塗深掘,nńg thôo tshim ku̍t
軟市,nńg tshī
軟汫,nńg tsiánn
怒,nōo
懦,nōo
軁狗空仔,nǹg káu khang á
軁錢空,nǹg tsînn khang
軁鑽,nǹg tsǹg
圇,n̂g
黃目子,n̂g ba̍k tsí
黃錦錦,n̂g gìm gìm
黃牛,n̂g gû
黃魚,n̂g hî
黃魚,n̂g hû
黃梔仔花,n̂g ki á hue
黃金,n̂g kim
黃絲帶,n̂g si tuà
黃色,n̂g sik
黃酸,n̂g sng
黃酸雨,n̂g sng hōo
黃疸,n̂g thán
黃酒,n̂g tsiú
黃豆,n̂g tāu
呵,o
媧,o
窩,o
蒿,o
阿,o
呵咾,o ló
僫,oh
僫講,oh kóng
僫做,oh tsuè
僫做,oh tsò
屋,ok
惡,ok
握,ok
惡馬,ok bé
惡夢,ok bāng
惡化,ok huà
惡確確,ok khia̍k khia̍k
惡人,ok lâng
惡人無膽,ok lâng bô tánn
惡魔,ok môo
惡霸,ok pà
惡報,ok pò
惡性,ok sìng
惡毒,ok to̍k
惡質,ok tsit
惡意,ok ì
掩,om
汪,ong
翁,ong
汪洋,ong iông
唔,onn
嗚,onn
唔唔睏,onn onn khùn
嗚,oo
槔,oo
烏,oo
謳,oo
阿,oo
鷗,oo
烏鴉,oo a
烏鴉喙,oo a tshuì
烏墨,oo ba̍k
烏蝛,oo bui
烏尾冬,oo bué tang
烏尾冬,oo bé tang
烏面抐桮,oo bīn lā pue
烏面賊,oo bīn tsha̍t
嗚呼,oo hoo
烏魚,oo hî
烏魚鰾,oo hî piō
烏魚子,oo hî tsí
烏魚,oo hû
烏魚鰾,oo hû piō
烏魚子,oo hû tsí
烏雲,oo hûn
烏耳鰻,oo hī muâ
烏耳鰻,oo hīnn muâ
烏煙,oo ian
烏煙黗,oo ian thûn
烏陰,oo im
烏陰天,oo im thinn
烏影,oo iánn
烏有,oo iú
烏油,oo iû
烏仁,oo jîn
烏仁目鏡,oo jîn ba̍k kiànn
烏格仔,oo keh á
烏金,oo kim
烏龜,oo ku
烏龜,oo kui
烏骨雞,oo kut ke
烏骨雞,oo kut kue
烏狗,oo káu
烏狗兄,oo káu hiann
烏痣,oo kì
烏龍,oo liông
烏龍茶,oo liông tê
烏龍仔,oo liông á
烏漉肚,oo lok tōo
烏滓血,oo lái hueh
烏滓血,oo lái huih
烏人,oo lâng
烏仁,oo lîn
烏仁目鏡,oo lîn ba̍k kiànn
烏魯木齊,oo lóo bo̍k tsè
烏名單,oo miâ tuann
烏毛,oo moo
烏麻油,oo muâ iû
烏梅仔酒,oo muê á tsiú
烏梅仔酒,oo m̂ á tsiú
烏貓,oo niau
烏貓姊仔,oo niau tsí á
烏斑,oo pan
烏枋,oo pang
烏枋拭仔,oo pang tshit á
烏白,oo pe̍h
烏白來,oo pe̍h lâi
烏白切,oo pe̍h tshiat
烏西,oo se
烏鉎,oo sian
烏色,oo sik
烏心肝,oo sim kuann
烏心石,oo sim tsio̍h
烏璇石,oo suān tsio̍h
烏㽎㽎,oo sìm sìm
烏趖趖,oo sô sô
烏焦瘦,oo ta sán
烏笛仔,oo ta̍t á
烏天暗地,oo thinn àm tuē
烏天暗地,oo thinn àm tē
烏糖,oo thn̂g
烏糖粿,oo thn̂g kué
烏糖粿,oo thn̂g ké
烏頭仔車,oo thâu á tshia
烏塗,oo thôo
烏甜仔菜,oo tinn á tshài
烏點,oo tiám
烏青,oo tshenn
烏青凝血,oo tshenn gîng hueh
烏青,oo tshinn
烏青凝血,oo tshinn gîng huih
烏鶖,oo tshiu
烏鯧,oo tshiunn
烏手,oo tshiú
烏喙筆仔,oo tshuì pit á
烏醋,oo tshòo
烏市,oo tshī
烏真珠,oo tsin tsu
烏子仔菜,oo tsí á tshài
烏棗,oo tsó
烏𪐞紅,oo tòo âng
烏豆,oo tāu
烏道,oo tō
烏暗,oo àm
烏暗眩,oo àm hîn
烏甕串,oo àng tshǹg
烏漚,oo áu
喔,ooh
學,o̍h
學工夫,o̍h kang hu
學人,o̍h lâng
學堂,o̍h tn̂g
學話,o̍h uē
學仔,o̍h á
學仔仙,o̍h á sian
吧,pa
巴,pa
疤,pa
笆,pa
羓,pa
芭,pa
𢼌,pa
巴結,pa kiat
巴郎,pa lang
芭蕾,pa lê
芭蕉,pa tsio
吧台,pa tâi
叭,pah
爸,pah
百,pah
百萬,pah bān
百面,pah bīn
百分比,pah hun pí
百分之百,pah hun tsi pah
百貨,pah huè
百貨公司,pah huè kong si
百貨,pah hè
百貨公司,pah hè kong si
百樣,pah iūnn
百日,pah ji̍t
百日嗽,pah ji̍t sàu
百日紅,pah ji̍t âng
百二,pah jī
百科,pah kho
百襇裙,pah kíng kûn
百日,pah li̍t
百日嗽,pah li̍t sàu
百日紅,pah li̍t âng
百二,pah lī
百年,pah nî
百百空,pah pah khang
百百款,pah pah khuán
百般,pah puann
百步蛇,pah pōo tsuâ
俳,pai
剝,pak
北,pak
幅,pak
腹,pak
北美館,pak bí kuán
北方,pak hong
北區,pak khu
北極,pak ki̍k
北管,pak kuán
腹內,pak lāi
北二高,pak lī ko
剝皮,pak phuê
剝皮,pak phê
北爿,pak pîng
北部,pak pōo
剝削,pak siah
腹腸,pak tn̂g
腹肚尾,pak tóo bué
腹肚尾,pak tóo bé
腹肚枵,pak tóo iau
斑,pan
班,pan
般,pan
頒,pan
頒發,pan huat
斑鴿,pan kah
班級,pan kip
斑馬,pan má
斑馬線,pan má suànn
頒佈,pan pòo
班長,pan tiúnn
斑節蝦,pan tsat hê
斑芝,pan tsi
頒獎,pan tsióng
封,pang
崩,pang
幫,pang
枋,pang
邦,pang
幫忙,pang bâng
枋模,pang bôo
邦交,pang kau
幫派,pang phài
崩盤,pang puânn
崩山,pang suann
幫贊,pang tsān
幫助,pang tsōo
枋堵,pang tóo
枋仔,pang á
八,pat
八字跤,pat jī kha
八家將,pat ka tsiòng
八卦,pat kuà
八字跤,pat lī kha
八仙,pat sian
八仙桌,pat sian toh
八仙綵,pat sian tshái
八珍,pat tin
腹肚,pat tóo
包,pau
胞,pau
苞,pau
鮑,pau
包袱,pau ho̍k
包袱巾,pau ho̍k kin
包袱巾,pau ho̍k kun
包袱仔,pau ho̍k á
包含,pau hâm
包涵,pau hâm
鮑魚,pau hî
鮑魚,pau hû
包贏,pau iânn
包容,pau iông
包括,pau kuat
包裹,pau kó
包領,pau niá
包贌,pau pa̍k
包皮,pau phuê
包皮,pau phê
包飯,pau pn̄g
包辦,pau pān
包商,pau siong
包穡頭,pau sit thâu
包飼的,pau tshī ê
包種茶,pau tsióng tê
包裝,pau tsong
包圍,pau uî
包仔,pau á
包穩,pau ún
包餡,pau ānn
縛,pa̍k
贌,pa̍k
縛跤,pa̍k kha
縛跤縛手,pa̍k kha pa̍k tshiú
贌田,pa̍k tshân
縛粽,pa̍k tsàng
別,pa̍t
菝,pa̍t
別項,pa̍t hāng
別日,pa̍t ji̍t
別日仔,pa̍t ji̍t á
別款,pa̍t khuán
別日,pa̍t li̍t
別日仔,pa̍t li̍t á
別人,pa̍t lâng
別搭,pa̍t tah
別位,pa̍t uī
菝仔票,pa̍t á phiò
別个,pa̍t ê
扒,pe
扒飯,pe pn̄g
伯,peh
八,peh
擘,peh
柏,peh
百,peh
,peh
八字,peh jī
八角,peh kak
擘開,peh khui
擘金,peh kim
伯公,peh kong
百姓,peh sènn
百姓,peh sìnn
繃,penn
帛,pe̍h
白,pe̍h
白肉,pe̍h bah
白墨,pe̍h ba̍k
白目,pe̍h ba̍k
白木耳,pe̍h bo̍k ní
白米,pe̍h bí
白蟻,pe̍h hiā
白鶴,pe̍h ho̍h
白虎湯,pe̍h hóo thng
白雲,pe̍h hûn
白柚,pe̍h iū
白仁,pe̍h jîn
白跤蹄,pe̍h kha tê
白金,pe̍h kim
白講,pe̍h kóng
白韭菜,pe̍h kú tshài
白滾水,pe̍h kún tsuí
白人,pe̍h lâng
白仁,pe̍h lîn
白內障,pe̍h lāi tsiàng
白翎鷥,pe̍h līng si
白露,pe̍h lōo
白麻,pe̍h muâ
白麻油,pe̍h muâ iû
白腹仔,pe̍h pak á
白斑,pe̍h pan
白包,pe̍h pau
白白,pe̍h pe̍h
白飯,pe̍h pn̄g
白煠,pe̍h sa̍h
白鑠鑠,pe̍h siak siak
白色,pe̍h sik
白癬,pe̍h sián
白帖仔,pe̍h thiap á
